source_id,formal_name,lat,long,sit_prec,geo_src,lat_long_src_id,name_src,site_cat,hist_affl,state_affl,cultrl_affl_1,cultrl_affl_2,site_sgnf,mil_use,aaas,state_hiu,nga,dia,osm,coder1,coder1_date ,coder2,coder2_date ,apprv,apprv_date ,Notes1,Notes2,KHChanges,Hst 1,Hst 2,Religion,Language,Ethnicity,Governorate,FID_OLD,OBJECTID_OLD,PlyContain,PtContaine,PennContai,cat_code_old
AAASSYR01692,Ø®Ø±Ø¨Ø© Ø£Ø±Ø­Ø³Ø±,34.6327778,36.3041667,,OSM_Points,564419876,OSM_Points,Historic Structure,,,,,,,1,,,,1,SRW001,31-Aug-2016,,,,, ,0, ,,,,,,,1691,1692,0,0,0,5
AAASSYR01693,Ø®Ø±Ø¨Ø© Ø­ÙˆØ±ØªØ©,34.2677778,36.5761111,,OSM_Points,564420528,OSM_Points,Historic Structure,,,,,,,1,,,,1,SRW001,31-Aug-2016,,,,, ,0, ,,,,,,,1692,1693,0,0,0,5
AAASSYR01694,Ø®Ø±Ø¨Ø© Ø§Ù„Ù†ØµØ±,33.5333333,36.2666667,,OSM_Points,567042052,OSM_Points,Archaeological Site,,,,,,,1,,,,1,SRW001,31-Aug-2016,,,,, ,0, ,,,,,,,1693,1694,0,0,0,1
AAASSYR01695,Ù‚ØµØ± Ø§Ù„Ø¨Ù†Ø§Øª,33.85,36.150000001,,OSM_Points,567050579,OSM_Points,Archaeological Site,,,,,,,1,,,,1,SRW001,31-Aug-2016,,,,, ,0, ,,,,,,,1694,1695,0,0,0,1
AAASSYR01696,Ø®Ø±Ø¨Ø© Ø§Ù„Ø³Ø¬Ø¹,33.5319444,36.1722222,,OSM_Points,567052234,OSM_Points,Archaeological Site,,,,,,,1,,,,1,SRW001,31-Aug-2016,,,,, ,0, ,,,,,,,1695,1696,0,0,0,1
AAASSYR01697,Ø®Ø±Ø¨Ø© Ø§Ù„Ù…Ù†ÙƒØª,33.2,36.3,,OSM_Points,567052774,OSM_Points,Archaeological Site,,,,,,,1,,,,1,SRW001,31-Aug-2016,,,,, ,0, ,,,,,,,1696,1697,0,0,0,1
AAASSYR01698,Ø®Ø±Ø¨Ø© Ø¹ÙŠÙ† Ø§Ù„Ø¹ÙØ§,33.1833333,36.1166667,,OSM_Points,567053178,OSM_Points,Archaeological Site,,,,,,,1,,,,1,SRW001,31-Aug-2016,,,,, ,0, ,,,,,,,1697,1698,0,0,0,1
AAASSYR01699,Ø®Ø±Ø¨Ø© Ø¨ÙˆÙŠØ±ÙŠØª,33.1333333,36.1666667,,OSM_Points,567053269,OSM_Points,Archaeological Site,,,,,,,1,,,,1,SRW001,31-Aug-2016,,,,, ,0, ,,,,,,,1698,1699,0,0,0,1
AAASSYR01700,Ø®Ø±Ø¨Ø© Ø±Ø£ÙØ©,32.8500000001,36.1666666996,,OSM_Points,567054203,OSM_Points,Archaeological Site,,,,,,,1,,,,1,SRW001,31-Aug-2016,,,,, ,9999,BAD SITE - REMOVED,,,,,,,1699,1700,0,0,0,1
AAASSYR01701,ÙƒÙØ± Ø¨ØµÙ„,32.8333333,36.1166667,,OSM_Points,567054209,OSM_Points,Archaeological Site,,,,,,,1,,,,1,SRW001,31-Aug-2016,,,,, ,0, ,,,,,,,1700,1701,0,0,0,1
