state_hiu,Notes1,dia,coder1_date ,lat_long_src_id,apprv_date ,coder2_date ,mil_use,site_cat,site_sgnf,FID_OLD,hist_affl,coder1,Notes2,KHChanges,formal_name,nga,cat_code_old,cultrl_affl_1,geo_src,Governorate,name_src,sit_prec,source_id,Religion,PennContai,Ethnicity,PlyContain,PtContaine,Language,apprv,lat,aaas,long,cultrl_affl_2,osm,coder2,Hst 2,OBJECTID_OLD,Hst 1,state_affl,nearest_neighbor,nearest_neighbor_distance
, ,,31-Aug-2016,234937578,,,,Religious Site,,702,MD01,SRW001,1, ,Holy Cross Church,,9,RJ03,OSM_Polygon,,OSM_Polygon,,AAASSYR00703,Armenian Catholic Church,0,Armenian,0,0,Armenian,,36.2123978001,1,37.155326,,1,,,703,Modern,,AAASSYR00702,0.110541
, ,,31-Aug-2016,203500092,,,,Religious Site,,244,MD01,SRW001,0, ,"Imam Shafi'I Mosque, Aleppo (الامام الشافعي)",,9,M010,OSM_Polygon,Aleppo,OSM_Polygon,,AAASSYR00245,Islam,0,Arab,0,0,Arabic,,36.22448425,1,37.13401895,,1,,,245,Modern,,OSM4564836692,0.384245
, ,,31-Aug-2016,203504518,,,,Religious Site,,245,MD01,SRW001,0, ,"Sheikh Taha Mosque, Aleppo (جامع الشيخ طه)",,9,M010,OSM_Polygon,Aleppo,OSM_Polygon,,AAASSYR00246,Islam,0,Arab,0,0,Arabic,,36.2169307,1,37.1525907,,1,,,246,Modern,,AAASSYR00693,0.176602
, ,,31-Aug-2016,203552955,,,,Religious Site,,259,MD01,SRW001,0, ,"Al Maydan Mosque (Shabarek mosque), Aleppo",,9,M010,OSM_Polygon,Aleppo,OSM_Polygon,,AAASSYR00260,Islam,0,Arab,0,0,Arabic,,36.21903845,1,37.1648847,,1,,,260,Modern,,AAASSYR00263,0.261627
, ,,31-Aug-2016,203688833,,,,Religious Site,,319,MD01,SRW001,0, ,"Great Mosque of Sheikh Maksoud, Aleppo",,9,M010,OSM_Polygon,Aleppo,OSM_Polygon,,AAASSYR00320,Islam,0,Arab,0,0,Arabic,,36.22903785,1,37.15897945,,1,,,320,Modern,,AAASSYR00261,0.294492
, ,,31-Aug-2016,203500088,,,,Religious Site,,243,MD01,SRW001,0, ,"Sa'ad ibn Waqqas Mosque, Aleppo (جامع سعد بن وقاص)",,9,M014,OSM_Polygon,Aleppo,OSM_Polygon,,AAASSYR00244,Islam (my guess is Sunni),0,Arab,0,0,Arabic,,36.22313195,1,37.1478075,,1,,,244,Modern,,AAASSYR00172,0.276200
, ,,31-Aug-2016,203625198,,,,Religious Site,,284,MD01,SRW001,1, ,Taqwa Mosque,,9,M014,OSM_Polygon,,OSM_Polygon,,AAASSYR00285,Sunni,0,Arab,0,0,Arabic,,36.1835464498,1,37.1291757001,,1,,,285,Modern,,AAASSYR00986,0.240269
, ,,31-Aug-2016,203631812,,,,Religious Site,,294,MD01,SRW001,1, ,"Abo Bakr Mosque, Hamadineyeh  (الإباء)",,9,M014,OSM_Polygon,,OSM_Polygon,,AAASSYR00295,Sunni,0,Arab,0,0,Arabic,,36.1824554501,1,37.1098799495,,1,,,295,Modern,,AAASSYR00282,0.374104
, ,,31-Aug-2016,203733931,,,,Religious Site,,332,MD01,SRW001,1, ,"(Mosque, Aleppo)",,9,M014,OSM_Polygon,Aleppo,OSM_Polygon,,AAASSYR00333,Sunni,0,Arab,0,0,Arabic,,36.2479781499,1,37.0883212001,,1,,,333,Modern,,AAASSYR00335,0.540338
, ,,31-Aug-2016,203733934,,,,Religious Site,,334,MD01,SRW001,1, ,"(Mosque, Aleppo)",,9,M014,OSM_Polygon,Aleppo,OSM_Polygon,,AAASSYR00335,Sunni,0,Arab,0,0,Arabic,,36.2523659499,1,37.0857140996,,1,,,335,Modern,,AAASSYR00333,0.540338
